Obs	Year	AveTemp	HeatDeg	CoolDeg	FamNum	KWH
1	1	29.1	1229	0	4	5600
2	1	31.5	999	0	4	9463
3	1	41.9	734	0	4	5154
4	1	53.4	373	0	4	3576
5	1	63.7	162	94	4	2894
6	1	72.9	4	211	4	2257
7	1	76.8	0	328	4	2826
8	1	75	0	261	4	2986
9	1	68.4	52	110	4	1774
10	1	56.8	326	18	4	2713
11	1	43.3	644	0	4	2092
12	1	32.5	1049	0	4	6109
13	2	29.1	1229	0	4	5400
14	2	31.5	999	0	4	6657
15	2	41.9	734	0	4	4692
16	2	53.4	373	0	4	4243
17	2	63.7	162	94	4	3631
18	2	72.9	4	211	4	1891
19	2	76.8	0	328	4	1905
20	2	75	0	261	4	2292
21	2	68.4	52	110	4	1800
22	2	56.8	326	18	4	2063
23	2	43.3	644	0	4	2040
24	2	32.5	1049	0	4	4236
25	3	29.1	1229	0	4	6163
26	3	31.5	999	0	4	7864
27	3	41.9	734	0	4	7526
28	3	53.4	373	0	4	5028
29	3	63.7	162	94	4	2754
30	3	72.9	4	211	4	1868
31	3	76.8	0	328	4	4294
32	3	75	0	261	4	2940
33	3	68.4	52	110	4	2573
34	3	56.8	326	18	4	1599
35	3	43.3	644	0	4	1926
36	3	32.5	1049	0	4	4439
37	4	29.1	1229	0	4	5494
38	4	31.5	999	0	4	5664
39	4	41.9	734	0	4	6699
40	4	53.4	373	0	4	4002
41	4	63.7	162	94	4	2525
42	4	72.9	4	211	4	1958
43	4	76.8	0	328	4	2635
44	4	75	0	261	4	2187
45	4	68.4	52	110	4	1782
46	4	56.8	326	18	4	2156
47	4	43.3	644	0	4	2156
48	4	32.5	1049	0	4	3184
49	5	29.1	1229	0	4	6980
50	5	31.5	999	0	4	8573
51	5	41.9	734	0	4	8751
52	5	53.4	373	0	4	5163
53	5	63.7	162	94	4	4055
54	5	72.9	4	211	4	2630
55	5	76.8	0	328	4	3798
56	5	75	0	261	4	4225
57	5	68.4	52	110	4	4754
58	5	56.8	326	18	4	2911
59	5	43.3	644	0	4	2735
60	5	32.5	1049	0	4	6861
61	6	29.1	1229	0	4	11644
62	6	31.5	999	0	4	13784
63	6	41.9	734	0	4	12544
64	6	53.4	373	0	4	10463
65	6	63.7	162	94	4	5280
66	6	72.9	4	211	4	3371
67	6	76.8	0	328	4	2898
68	6	75	0	261	4	3567
69	6	68.4	52	110	4	1992
70	6	56.8	326	18	4	1784
71	6	43.3	644	0	4	2105
72	6	32.5	1049	0	4	5975
73	7	29.1	1229	0	4	4746
74	7	31.5	999	0	4	6295
75	7	41.9	734	0	4	2966
76	7	53.4	373	0	4	2061
77	7	63.7	162	94	4	1861
78	7	72.9	4	211	4	1312
79	7	76.8	0	328	4	1106
80	7	75	0	261	4	1350
81	7	68.4	52	110	3	1166
82	7	56.8	326	18	3	920
83	7	43.3	644	0	3	1021
84	7	32.5	1049	0	3	1975
85	8	29.1	1229	0	3	2691
86	8	31.5	999	0	3	2769
87	8	41.9	734	0	3	1504
88	8	53.4	373	0	3	1413
89	8	63.7	162	94	4	562
90	8	72.9	4	211	4	581
91	8	76.8	0	328	4	698
92	8	75	0	261	4	798
93	8	68.4	52	110	3	710
94	8	56.8	326	18	3	710
95	8	43.3	644	0	3	521
96	8	32.5	1049	0	3	682
97	9	29.1	1229	0	3	1365
98	9	31.5	999	0	3	2498
99	9	41.9	734	0	3	805
100	9	53.4	373	0	3	788
101	9	63.7	162	94	4	384
102	9	72.9	4	211	4	264
103	9	76.8	0	328	4	378
104	9	75	0	261	4	1887
105	9	68.4	52	110	3	1887
106	9	56.8	326	18	3	2227
107	9	43.3	644	0	3	2043
108	9	32.5	1049	0	3	2449
109	10	29.1	1229	0	3	3658
110	10	31.5	999	0	3	4681
111	10	41.9	734	0	3	3455
112	10	53.4	373	0	3	5805
113	10	63.7	162	94	4	3311
114	10	72.9	4	211	3	2062
115	10	76.8	0	328	3	2434
116	10	75	0	261	3	2253
117	10	68.4	52	110	2	1320
118	10	56.8	326	18	2	1182
119	10	43.3	644	0	2	1055
120	10	32.5	1049	0	2	1462
